3.2,hxh
3.2,one punch
3.5,naruto
3.3,blue exorcist
2.89,mha
6.0,nana
3.5,bleach
2.69,boruto
2.69,saop
2.69,dr stone
3.50,tg
2.69,cells at work
2.69,zom100
2.89,assassination
3.19,plunderer
2.54,goblin slayer bnd
2.79,mashle
2.69,case closed
2.69,komi
2.69,kaguya
2.54,goblin slayer
2.69,hinowa
2.69,saiyuki
2.69,detective
2.69,oshi no ko
19.99,vagabond de
2.99,dragon ball
2.70,scientific railgun
2.70,zelda
2.70,yugioh r
2.99,yugioh duelist
2.70,yugioh zexal
2.70,ima koi
2.99,no6
3.29,black clover
2.70,miss nagato
3.29,fire force
2.70,haikyu
4.29,jjk
3.5,chainsaw man
3.5,bungo stray dogs
2.70,children of the whales
2.99,sw edge of balance
2.70,record of ragnarok
3.5,skullface bookseller
3.29,dgrayman
2.70,skip beat
3.09,yugioh
2.70,black cap
2.70,seraph of the end
2.70,nisekoi
2.70,kashimashi
28.99,death note complete
